"Omschrijving";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"voorraad";39;452;90145,20;0;0,00;55686,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200,00
"omzet garanties";268;3013;775294,30;2502;1120183,80;601090,46;5527,00;220535,83;29708,55;5010,31;10655,46;1260,00;3708,14;0,00;0,00;879987,75;240196,05;21,44;203016,00
"omzet overig";1884;17964;4046170,38;14896;5891196,11;3370204,19;6661,56;1201689,40;135051,03;21586,62;65916,03;5945,00;25626,46;0,00;0,00;4832673,30;1058522,81;17,97;1223217,05
"totaal";2191;21429;4911609,88;17398;7011379,91;4026980,86;12188,56;1422225,23;164759,58;26596,93;76571,49;7205,00;29334,60;0,00;0,00;5712661,05;1298718,86;18,52;1426433,05

"garantie";1;16;5999,00;0;4799,20;4799,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;16;4499,00;0;3599,20;3599,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;8;2045,00;0;1636,00;1636,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;14;2821,00;0;1833,65;1833,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;14;3922,00;0;3137,60;3137,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;18;6000,00;0;4620,00;4620,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;18;6000,00;0;4620,00;4620,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;10;1695,00;0;1050,00;1050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;6;795,00;0;550,00;550,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;12;2492,00;0;2492,00;2492,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2492,00;-2492,00;-100,00;0,00
"garantie";1;10;3024,00;0;3024,00;3024,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;10;3250,00;0;2665,00;2665,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;8;3040,00;0;2492,80;2492,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;6;1309,00;0;1047,20;1047,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;14;7250,00;0;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;14;1395,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;14;4195,00;0;2000,00;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;14;3250,00;0;1000,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;14;2295,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;14;2295,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;11;750,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;11;995,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;11;1995,00;0;1400,00;1400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;11;1750,00;0;1050,00;1050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;10;595,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;10;595,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;10;595,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;10;595,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;10;995,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;10;995,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;10;995,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"garantie";1;10;1095,00;0;400,00;400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;10;1095,00;0;400,00;400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;10;895,00;0;350,00;350,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;10;895,00;0;325,00;325,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;10;695,00;0;350,00;350,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;10;949,20;0;813,56;813,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200,00
"garantie";1;8;2995,00;0;2396,00;2396,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;20;3100,00;0;2635,00;2635,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"T007014 / 065901";1;24;4200,00;18;3780,00;3600,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3600,72;179,28;4,74;0,00
"C101113 / 048901";1;12;2710,00;12;2730,00;2222,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2222,20;507,80;18,60;0,00
"B102018 / 017902";1;24;4966,00;20;8934,00;4072,12;0,00;3033,38;0,00;413,10;0,00;0,00;0,00;0,00;0,00;7518,60;1415,40;15,84;0,00
"E102104 / 109904";1;12;714,00;8;890,00;714,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;714,00;176,00;19,78;0,00
"T103002 / 109905";1;12;1190,00;11;1516,50;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;326,50;21,53;0,00
"C103024 / 048902";1;8;1590,00;4;1610,00;1303,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1303,80;306,20;19,02;1303,80
"C103035 / 168901";1;10;5795,00;10;8124,10;4636,00;0,00;1202,00;226,21;0,00;0,00;0,00;404,34;0,00;0,00;6468,55;1655,55;20,38;0,00
"C103039 / 048903";1;10;2350,00;10;2370,00;1927,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1927,00;443,00;18,69;0,00
"C103042 / 048904";1;22;5990,00;22;6010,00;5391,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5391,00;619,00;10,30;0,00
"C103044 / 039901";1;14;2040,00;11;3930,00;1734,00;0,00;1519,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3253,20;676,80;17,22;1734,00
"V103047 / 090905";1;8;3995,00;8;5998,00;3395,75;0,00;1291,50;365,21;0,00;0,00;0,00;0,00;0,00;0,00;5052,46;945,54;15,76;0,00
"C103055 / 039902";1;28;3960,00;18;8135,00;3366,00;0,00;3184,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6550,90;1584,10;19,47;3366,00
"C103062 / 130917";1;18;4295,00;16;9412,08;3436,00;0,00;3536,00;634,22;0,00;0,00;0,00;154,85;0,00;0,00;7761,07;1651,01;17,54;0,00
"C103063 / 033902";1;11;2775,00;9;2977,74;2358,75;0,00;0,00;0,00;0,00;0,00;0,00;116,38;0,00;0,00;2475,13;502,61;16,88;0,00
"C103064 / 048905";1;14;4165,00;12;4185,00;3748,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3748,50;436,50;10,43;3748,50
"C103066 / 033903";1;12;3075,00;12;3095,00;2613,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2613,75;481,25;15,55;2613,75
"W104001 / 109906";1;12;1540,00;12;1945,00;1540,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1540,00;405,00;20,82;0,00
"W104002 / 077901";1;10;3920,00;8;4074,30;3657,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3657,30;417,00;10,23;0,00
"C104003 / 130918";1;18;7995,00;18;11300,00;6396,00;0,00;2760,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9156,04;2143,96;18,97;6396,00
"T104004 / 048906";1;8;3150,00;8;2905,00;2583,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2583,00;322,00;11,08;2583,00
"C104005 / 033904";1;12;3075,00;12;3095,00;2613,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2613,75;481,25;15,55;0,00
"C104009 / 130919";1;12;5495,00;10;7845,00;4396,00;0,00;1737,00;201,70;0,00;0,00;0,00;0,00;0,00;0,00;6334,70;1510,30;19,25;0,00
"C104012 / 066901";1;15;3394,00;7;6468,00;2520,05;0,00;1105,44;238,73;0,00;1246,00;0,00;0,00;0,00;0,00;5110,22;1357,78;20,99;0,00
"E104016 / 090906";1;8;3650,00;5;3670,00;3102,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3102,50;567,50;15,46;0,00
"C104019 / 015901";1;14;5820,00;14;7970,00;4656,00;0,00;1938,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6594,00;1376,00;17,26;0,00
"E104020 / 130920";1;18;3995,00;17;4015,00;3196,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3196,00;819,00;20,40;0,00
"C104023 / 132901";1;14;4790,00;14;4810,00;3832,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3832,00;978,00;20,33;0,00
"T104024 / 130921";1;18;7995,00;17;7215,50;6396,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6396,00;819,50;11,36;6396,00
"C104027 / 109911";1;11;3250,00;8;3270,00;2050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2050,00;1220,00;37,31;2050,00
"W104028 / 048907";1;12;2870,00;12;3078,87;2353,40;0,00;0,00;0,00;0,00;0,00;0,00;120,36;0,00;0,00;2473,76;605,11;19,65;2353,40
"T104030 / 090907";1;8;4995,00;8;7699,17;4245,75;0,00;1362,50;0,00;0,00;1408,00;0,00;0,00;0,00;0,00;7016,25;682,92;8,87;4245,75
"T104031 / 039903";1;28;5450,00;22;6797,50;4632,50;0,00;0,00;632,58;0,00;0,00;0,00;0,00;0,00;0,00;5265,08;1532,42;22,54;0,00
"C104036 / 030902";1;17;3529,00;17;4025,00;3176,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3176,10;848,90;21,09;0,00
"C104037 / 130922";1;12;6295,00;10;7812,50;5036,00;0,00;1301,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6337,50;1475,00;18,88;0,00
"C104038 / 048908";1;16;2970,00;15;2805,32;2353,40;0,00;0,00;0,00;0,00;0,00;0,00;124,54;0,00;0,00;2477,94;327,38;11,67;0,00
"T104039 / 130923";1;18;3995,00;15;3615,00;2876,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2876,40;738,60;20,43;0,00
"C104040 / 049903";1;24;5198,00;23;10257,50;4158,40;0,00;3605,00;509,68;0,00;0,00;0,00;0,00;0,00;0,00;8273,08;1984,42;19,35;0,00
"C104042 / 012901";1;15;2261,00;11;4973,88;1808,80;0,00;1232,80;523,00;0,00;0,00;0,00;167,55;0,00;0,00;3732,15;1241,73;24,97;1808,80
"C104043 / 025901";1;14;2294,00;11;4887,50;1491,10;0,00;2226,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3717,94;1169,56;23,93;1254,91
"C104044 / 025902";1;6;0,00;4;374,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;374,00;100,00;0,00
"W104046 / 035902";1;7;1050,00;7;1427,83;1094,00;0,00;0,00;0,00;0,00;0,00;0,00;55,49;0,00;0,00;1149,49;278,34;19,49;1094,00
"C104047 / 049902";1;24;4195,00;20;11582,50;3356,00;0,00;3345,00;900,88;1413,00;0,00;0,00;0,00;0,00;0,00;9014,88;2567,62;22,17;3356,00
"Q104049 / 130925";1;18;4395,00;18;3735,75;3516,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3516,00;219,75;5,88;3516,00
"C104050 / 048909";1;16;3390,00;10;3030,00;2697,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2697,80;332,20;10,96;0,00
"C104051 / 025903";1;10;1748,00;8;3785,00;1398,40;0,00;1375,08;294,27;0,00;0,00;0,00;0,00;0,00;0,00;3067,75;717,25;18,95;0,00
"E104053 / 130926";1;12;4750,00;12;4770,00;3800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3800,00;970,00;20,34;0,00
"V105001 / 130927";1;12;5795,00;12;7268,90;4636,00;0,00;2240,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6876,00;392,90;5,41;4636,00
"C105002 / 109918";1;11;3250,00;9;3699,11;2050,00;0,00;0,00;0,00;0,00;0,00;0,00;286,86;0,00;0,00;2336,86;1362,25;36,83;0,00
"C105003 / 025904";1;12;2067,00;11;4015,00;1653,60;0,00;1417,08;110,14;0,00;0,00;0,00;0,00;0,00;0,00;3180,82;834,18;20,78;0,00
"C105004 / 055904";1;12;2630,00;11;5497,50;2235,50;0,00;2043,80;411,75;0,00;0,00;0,00;0,00;0,00;0,00;4691,05;806,45;14,67;2235,50
"C105006 / 006901";1;22;4990,00;16;6535,00;5270,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5270,00;1265,00;19,36;5270,00
"T105007 / 128901";1;6;1442,00;6;1689,50;1442,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1442,00;247,50;14,65;1442,00
"C105008 / 012902";1;15;3369,00;11;5240,00;2695,20;0,00;1256,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3952,00;1288,00;24,58;2695,20
"C105009 / 039904";1;18;3080,00;18;7017,50;2618,00;0,00;2372,40;835,07;0,00;0,00;0,00;0,00;0,00;0,00;5825,47;1192,03;16,99;2618,00
"C105010 / 035903";1;5;770,00;5;891,00;794,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;794,00;97,00;10,89;0,00
"C105012 / 032901";1;8;1645,00;8;1665,00;1316,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1316,00;349,00;20,96;0,00
"C105013 / 055905";1;12;2440,00;10;4490,00;2074,00;0,00;1295,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3369,00;1121,00;24,97;2074,00
"C105014 / 006902";1;18;3555,00;18;4775,00;3870,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3870,00;905,00;18,95;3870,00
"C105019 / 005901";1;8;1173,00;6;2657,00;1001,85;42,00;1214,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2258,49;398,51;15,00;1001,85
"V105020 / 130928";1;18;7795,00;18;7015,50;6236,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6236,00;779,50;11,11;0,00
"C105021 / 012903";1;15;1856,00;10;3660,00;1484,80;0,00;1277,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2762,56;897,44;24,52;1484,80
"C105023 / 055906";1;12;2360,00;9;4189,75;1888,00;0,00;1454,40;0,00;0,00;0,00;0,00;18,53;0,00;0,00;3360,93;828,82;19,78;0,00
"C105024 / 039905";1;28;9410,00;22;10030,00;7998,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7998,50;2031,50;20,25;7998,50
"C105026 / 039906";1;10;3250,00;8;4862,50;2762,50;0,00;1359,24;51,56;0,00;0,00;0,00;0,00;0,00;0,00;4173,30;689,20;14,17;2762,50
"C105027 / 055907";1;9;2280,00;5;3360,00;1938,00;0,00;717,20;157,79;0,00;0,00;0,00;0,00;0,00;0,00;2812,99;547,01;16,28;1938,00
"B105028 / 055908";1;12;2550,00;10;4620,00;2167,50;0,00;1858,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4025,50;594,50;12,87;2167,50
"C105029 / 012904";1;15;1285,00;11;2715,00;1028,00;0,00;863,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1891,85;823,15;30,32;0,00
"C105031 / 052901";1;4;1579,20;3;2765,00;1579,20;0,00;714,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2293,20;471,80;17,06;0,00
"C105032 / 048910";1;20;2820,00;18;7232,50;2312,40;0,00;3023,00;756,00;0,00;0,00;0,00;0,00;0,00;0,00;6091,40;1141,10;15,78;0,00
"C105033 / 012905";1;15;3959,00;15;6610,00;3266,17;0,00;2148,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5414,17;1195,83;18,09;3266,17
"C105034 / 012906";1;17;5317,00;16;8170,00;4386,52;0,00;2291,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6677,72;1492,28;18,27;4386,52
"C105035 / 030903";1;8;1640,00;8;2030,00;1476,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1476,00;554,00;27,29;0,00
