"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"voorraad";;178;2134;358617,80;0;0,00;193187,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"omzet garanties";;339;3891;958325,80;3271;1304147,92;660751,27;4782,00;242934,95;22990,03;3507,40;14396,10;1210,00;6168,33;0,00;0,00;956740,08;347407,84;26,64;64419,00
"omzet overig";;1561;15607;3721295,73;12750;5244972,64;3130965,01;4620,25;1019857,15;82889,78;12915,97;66083,83;3575,00;23767,52;-16956,60;0,00;4327717,91;917254,73;17,49;137332,36
"totaal";;2078;21632;5038239,33;16021;6549120,56;3984903,74;9402,25;1262792,10;105879,81;16423,37;80479,93;4785,00;29935,85;-16956,60;0,00;5284457,99;1264662,57;19,31;201751,36

"garantie";09-02-2013;1;10;2699,00;0;0,00;2132,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";29-12-2012;1;8;1899,00;0;0,00;1139,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";29-12-2012;1;8;1899,00;0;0,00;1139,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-02-2013;1;14;4750,00;0;0,00;4370,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";09-02-2013;1;9;2009,00;0;0,00;1607,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-02-2013;1;9;2586,00;0;0,00;2068,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-02-2013;1;15;4785,00;0;0,00;3828,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-02-2013;1;15;4785,00;0;0,00;3828,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-02-2013;1;15;3561,00;0;0,00;2848,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-02-2013;1;11;2511,00;0;0,00;2008,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-02-2013;1;11;2511,00;0;0,00;2008,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";29-12-2012;1;9;1978,00;0;0,00;1582,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";02-02-2013;1;10;2675,00;0;0,00;2140,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";02-02-2013;1;10;2990,00;0;0,00;2242,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";05-01-2013;1;8;1330,00;0;0,00;864,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-03-2013;1;8;1747,00;0;0,00;1135,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";23-03-2013;1;8;1747,00;0;0,00;1135,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";12-01-2013;1;10;1773,00;0;0,00;1152,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-03-2013;1;14;2861,00;0;0,00;1859,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";23-03-2013;1;14;2861,00;0;0,00;1859,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";30-03-2013;1;14;3558,00;0;0,00;2312,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";16-02-2013;1;10;3488,00;0;0,00;2790,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";05-01-2013;1;12;850,00;0;0,00;150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";05-01-2013;1;12;850,00;0;0,00;150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";12-01-2013;1;12;850,00;0;0,00;150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
