"Omschrijving";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"voorraad";2;20;1798,00;0;0,00;1438,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"omzet garanties";26;268;23076,00;233;22632,39;16579,30;0,00;0,00;0,00;0,00;0,00;0,00;132,39;0,00;0,00;16711,69;5920,70;26,16;0,00
"omzet overig";164;1221;171467,42;965;165806,31;135096,20;0,00;0,00;0,00;0,00;2125,20;524,80;565,73;0,00;0,00;138311,93;27494,38;16,58;219,60
"totaal";192;1509;196341,42;1198;188438,70;153113,90;0,00;0,00;0,00;0,00;2125,20;524,80;698,12;0,00;0,00;155023,62;33415,08;17,73;219,60

"garantie";1;10;899,00;0;719,20;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";1;10;899,00;0;719,20;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Z108133 / 004923";1;12;899,00;12;905,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;185,80;20,53;0,00
"Z108134 / 004924";1;12;899,00;12;905,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;185,80;20,53;0,00
"Z108152 / 004925";1;16;1099,00;16;1115,00;879,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;879,20;235,80;21,15;0,00
"Z109012 / 004930";1;12;899,00;12;915,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;195,80;21,40;0,00
"Z109102 / 223902";1;4;780,00;2;990,00;780,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;780,00;210,00;21,21;0,00
"Z109115 / 131965";1;5;3300,00;5;3320,00;2640,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2640,00;680,00;20,48;0,00
"Z109211 / 031930";1;10;400,00;3;420,00;308,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;308,00;112,00;26,67;0,00
"Z109367 / 131966";1;6;1350,00;3;1604,80;1080,00;0,00;0,00;0,00;0,00;0,00;524,80;0,00;0,00;0,00;1604,80;0,00;0,00;0,00
"Z11105063";1;8;575,00;2;635,50;578,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;578,00;57,50;9,05;0,00
"Z11105090";1;6;750,00;4;695,00;600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;600,00;95,00;13,67;0,00
"V11105152";1;8;2850,00;5;2565,00;2422,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2422,50;142,50;5,56;0,00
"V11105164";1;8;1390,00;5;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;0,00
"Z11105182";1;18;1531,00;18;1070,00;1224,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1224,80;-154,80;-14,47;0,00
"V11105268";1;6;1350,00;4;1012,50;945,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;945,00;67,50;6,67;0,00
"Z11105269";1;10;650,00;5;716,33;500,50;0,00;0,00;0,00;0,00;0,00;0,00;27,51;0,00;0,00;528,01;188,32;26,29;0,00
"Z11105277";1;18;1050,00;18;1070,00;808,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;808,50;261,50;24,44;0,00
"Z11105290";1;18;1050,00;18;965,00;808,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;808,50;156,50;16,22;0,00
"Z11105291";1;18;1050,00;18;945,00;808,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;808,50;136,50;14,44;0,00
"Z11105292";1;12;850,00;12;765,00;654,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;654,50;110,50;14,44;0,00
"Z11105299";1;12;899,00;10;870,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;150,80;17,33;0,00
"Z11105346";1;4;1260,00;3;1280,00;1008,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1008,00;272,00;21,25;0,00
"V11105360";1;12;1700,00;10;1275,00;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;85,00;6,67;0,00
"V11105393";1;8;695,00;3;521,25;486,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;486,50;34,75;6,67;0,00
"V11105395";1;8;695,00;5;521,25;486,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;486,50;34,75;6,67;0,00
"Z11105415";1;16;1410,00;14;1430,00;987,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;987,00;443,00;30,98;0,00
"Z11105442";1;10;650,00;10;670,00;500,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,50;169,50;25,30;0,00
"Z11105445";1;5;1482,00;3;1595,36;1185,60;0,00;0,00;0,00;0,00;0,00;0,00;62,01;0,00;0,00;1247,61;347,75;21,80;0,00
"Z11105447";1;8;477,00;8;495,00;405,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;405,45;89,55;18,09;0,00
"Z11105448";1;14;1225,00;12;1349,19;857,50;0,00;0,00;0,00;0,00;0,00;0,00;67,12;0,00;0,00;924,62;424,57;31,47;0,00
"Z11105449";1;10;650,00;10;657,00;500,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,50;156,50;23,82;0,00
"Z11105450";1;12;850,00;12;857,00;654,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;654,50;202,50;23,63;0,00
"Z11105451";1;12;850,00;12;856,00;654,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;654,50;201,50;23,54;0,00
"Z11115002";1;8;770,00;7;790,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;251,00;31,77;0,00
"Z11115013";1;12;1060,00;10;1070,00;742,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;742,00;328,00;30,65;0,00
"Z11115014";1;12;1060,00;10;1070,00;742,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;742,00;328,00;30,65;0,00
"Z11115021";1;10;895,00;7;977,37;626,50;0,00;0,00;0,00;0,00;0,00;0,00;37,76;0,00;0,00;664,26;313,11;32,04;0,00
"V11115027";1;6;675,00;5;506,25;472,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;472,50;33,75;6,67;0,00
"V11115028";1;12;1700,00;9;1275,00;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;85,00;6,67;0,00
"Z11115040";1;8;770,00;6;790,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;251,00;31,77;0,00
"Z11115041";1;14;1225,00;14;1245,00;857,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;857,50;387,50;31,12;0,00
"Z11115047";1;6;2150,00;6;1955,00;1720,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1720,00;235,00;12,02;0,00
"Z11115052";1;16;1410,00;16;1457,02;987,00;0,00;0,00;0,00;0,00;0,00;0,00;18,24;0,00;0,00;1005,24;451,78;31,01;0,00
"Z11115053";1;10;895,00;10;812,50;626,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;626,50;186,00;22,89;0,00
"Z11115054";1;10;895,00;10;812,50;626,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;626,50;186,00;22,89;0,00
"Z11115055";1;8;770,00;8;699,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;160,00;22,89;0,00
"Z11115063";1;12;1060,00;10;1070,00;742,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;742,00;328,00;30,65;0,00
"Z11115064";1;6;635,00;4;645,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;200,50;31,09;0,00
"Z11115086";1;6;635,00;3;655,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;210,50;32,14;0,00
"Z11115105";1;10;895,00;4;825,50;626,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;626,50;199,00;24,11;0,00
"Z11115107";1;18;1000,00;17;1020,00;770,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;770,00;250,00;24,51;0,00
"Z11115113";1;6;635,00;6;655,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;210,50;32,14;0,00
"V11115117";1;8;1390,00;5;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;0,00
"V11115137";1;8;1500,00;5;1125,00;1050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1050,00;75,00;6,67;0,00
"V11115154";1;8;1390,00;5;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;0,00
"Z11115178";1;8;770,00;8;790,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;251,00;31,77;0,00
"Z11115179";1;8;770,00;8;770,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;231,00;30,00;0,00
"Z11115180";1;6;635,00;6;635,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;190,50;30,00;0,00
"Z11115195";1;6;635,00;6;635,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;190,50;30,00;0,00
"Z11115230";1;10;700,00;8;720,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;181,00;25,14;0,00
"Z11115258";1;12;900,00;12;920,00;693,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;693,00;227,00;24,67;0,00
"Z11115262";1;4;1071,00;4;1090,00;856,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;856,80;233,20;21,39;0,00
"Z11115281";1;6;1158,00;5;950,00;926,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;926,40;23,60;2,48;0,00
"Z11115295";1;9;2460,00;7;2234,00;1968,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1968,00;266,00;11,91;0,00
