"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"voorraad";;0;0;0,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"omzet garanties";;33;349;29484,00;292;27919,39;21988,20;0,00;0,00;0,00;0,00;0,00;0,00;163,09;0,00;0,00;22151,29;5768,10;20,66;21179,70
"omzet overig";;550;3463;559655,74;2584;545743,94;441082,52;2689,85;0,00;0,00;0,00;646,80;524,80;3251,27;0,00;0,00;448195,24;97548,70;17,87;433790,85
"totaal";;583;3812;589139,74;2876;573663,33;463070,72;2689,85;0,00;0,00;0,00;646,80;524,80;3414,36;0,00;0,00;470346,53;103316,80;18,01;454970,55

"garantie";02-06-2012;1;10;899,00;0;0,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;-719,20;-100,00;719,20
"garantie";02-06-2012;1;10;899,00;0;0,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;-719,20;-100,00;719,20
"Z108133 / 004923";02-06-2012;1;12;899,00;12;905,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;185,80;20,53;719,20
"Z108134 / 004924";02-06-2012;1;12;899,00;12;905,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;185,80;20,53;719,20
"Z108152 / 004925";02-06-2012;1;16;1099,00;16;1265,00;879,20;111,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;991,04;273,96;21,66;991,04
"Z109012 / 004930";02-06-2012;1;12;899,00;12;915,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;195,80;21,40;719,20
"Z109102 / 223902";01-09-2012;1;4;780,00;2;990,00;780,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;780,00;210,00;21,21;780,00
"Z109115 / 131965";21-07-2012;1;5;3300,00;5;3320,00;2640,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2640,00;680,00;20,48;2640,00
"Z109211 / 031930";07-05-2012;1;10;400,00;5;420,00;308,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;308,00;112,00;26,67;308,00
"Z109367 / 131966";23-06-2012;1;6;1350,00;3;1604,80;1080,00;0,00;0,00;0,00;0,00;0,00;524,80;0,00;0,00;0,00;1604,80;0,00;0,00;1080,00
"Z11105063";28-04-2012;1;8;575,00;5;917,50;460,00;352,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;812,00;105,50;11,50;812,00
"Z11105090";07-07-2012;1;6;750,00;4;695,00;600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;600,00;95,00;13,67;600,00
"V11105152";14-07-2012;1;8;2850,00;5;2565,00;2422,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2422,50;142,50;5,56;2422,50
"V11105164";20-07-2012;1;8;1390,00;5;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;973,00
"Z11105182";02-06-2012;1;18;1531,00;18;1070,00;1224,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1224,80;-154,80;-14,47;1224,80
"V11105268";27-07-2012;1;6;1350,00;4;1012,50;945,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;945,00;67,50;6,67;945,00
"Z11105269";02-06-2012;1;9;650,00;8;748,33;552,50;0,00;0,00;0,00;0,00;0,00;0,00;51,86;0,00;0,00;604,36;143,97;19,24;552,50
"Z11105277";02-06-2012;1;16;1210,00;16;1070,00;1028,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1028,50;41,50;3,88;1028,50
"Z11105290";02-06-2012;1;18;1050,00;18;965,00;808,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;808,50;156,50;16,22;0,00
"Z11105291";02-06-2012;1;18;1050,00;18;945,00;808,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;808,50;136,50;14,44;0,00
"Z11105292";02-06-2012;1;12;850,00;12;765,00;654,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;654,50;110,50;14,44;654,50
"Z11105299";02-06-2012;1;12;899,00;10;870,00;719,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;719,20;150,80;17,33;719,20
"Z11105346";07-07-2012;1;4;1260,00;3;1240,00;1008,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1008,00;232,00;18,71;1008,00
"V11105360";14-07-2012;1;12;1700,00;10;1275,00;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;85,00;6,67;1190,00
"V11105393";27-07-2012;1;8;695,00;5;521,25;486,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;486,50;34,75;6,67;486,50
"V11105395";27-07-2012;1;8;695,00;4;521,25;486,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;486,50;34,75;6,67;486,50
"Z11105415";02-06-2012;1;16;1410,00;16;1430,00;987,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;987,00;443,00;30,98;987,00
"Z11105442";02-06-2012;1;10;650,00;10;670,00;500,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,50;169,50;25,30;500,50
"Z11105445";11-08-2012;1;5;1482,00;4;1595,36;1185,60;0,00;0,00;0,00;0,00;0,00;0,00;66,44;0,00;0,00;1252,04;343,32;21,52;1185,60
"Z11105447";28-04-2012;1;8;477,00;8;495,00;405,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;405,45;89,55;18,09;405,45
"Z11105448";02-06-2012;1;14;1225,00;12;1349,19;857,50;0,00;0,00;0,00;0,00;0,00;0,00;70,79;0,00;0,00;928,29;420,90;31,20;857,50
"Z11105449";02-06-2012;1;10;650,00;10;657,00;500,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,50;156,50;23,82;500,50
"Z11105450";02-06-2012;1;12;850,00;12;857,00;654,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;654,50;202,50;23,63;654,50
"Z11105451";02-06-2012;1;12;850,00;12;856,00;654,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;654,50;201,50;23,54;654,50
"Z11115002";02-06-2012;1;8;770,00;7;790,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;251,00;31,77;539,00
"Z11115013";02-06-2012;1;12;1060,00;10;1070,00;742,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;742,00;328,00;30,65;742,00
"Z11115014";02-06-2012;1;12;1060,00;10;1070,00;742,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;742,00;328,00;30,65;742,00
"Z11115021";02-06-2012;1;10;895,00;7;977,37;626,50;0,00;0,00;0,00;0,00;0,00;0,00;40,44;0,00;0,00;666,94;310,43;31,76;626,50
"V11115027";20-07-2012;1;6;675,00;5;506,25;472,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;472,50;33,75;6,67;472,50
"V11115028";28-07-2012;1;12;1700,00;9;1275,00;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;85,00;6,67;1190,00
"Z11115040";02-06-2012;1;8;770,00;6;790,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;251,00;31,77;539,00
"Z11115041";02-06-2012;1;14;1225,00;14;1245,00;857,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;857,50;387,50;31,12;857,50
"Z11115047";21-07-2012;1;6;2150,00;6;2040,00;1720,00;85,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1805,00;235,00;11,52;1805,00
"Z11115052";02-06-2012;1;16;1410,00;16;1457,02;987,00;0,00;0,00;0,00;0,00;0,00;0,00;18,24;0,00;0,00;1005,24;451,78;31,01;987,00
"Z11115053";02-06-2012;1;10;895,00;10;812,50;626,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;626,50;186,00;22,89;626,50
"Z11115054";02-06-2012;1;10;895,00;10;812,50;626,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;626,50;186,00;22,89;626,50
"Z11115055";02-06-2012;1;8;770,00;8;699,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;160,00;22,89;539,00
"Z11115063";02-06-2012;1;12;1060,00;10;1070,00;742,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;742,00;328,00;30,65;742,00
"Z11115064";02-06-2012;1;6;635,00;4;645,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;200,50;31,09;444,50
"Z11115086";02-06-2012;1;6;635,00;6;655,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;210,50;32,14;444,50
"Z11115105";02-06-2012;1;10;895,00;10;825,50;626,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;626,50;199,00;24,11;626,50
"Z11115107";14-07-2012;1;18;1000,00;17;1020,00;770,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;770,00;250,00;24,51;770,00
"Z11115113";02-06-2012;1;6;635,00;6;655,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;210,50;32,14;444,50
"V11115117";20-07-2012;1;8;1390,00;5;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;973,00
"V11115137";13-07-2012;1;12;1500,00;5;1125,00;1050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1050,00;75,00;6,67;1050,00
"V11115154";13-07-2012;1;8;1390,00;5;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;973,00
